osmid,road type,length,geometry
100287854,unclassified,1139.688,"MULTILINESTRING ((104.0860418 30.6522162, 104.0857556 30.6518551, 104.0856592 30.6517436), (104.0856592 30.6517436, 104.0857556 30.6518551, 104.0860418 30.6522162), (104.0856592 30.6517436, 104.0847806 30.6507276, 104.0856592 30.6517436), (104.0863993 30.6526674, 104.0860418 30.6522162), (104.0860418 30.6522162, 104.0863993 30.6526674), (104.0863993 30.6526674, 104.0866246 30.6533965, 104.0868161 30.6543602), (104.0868161 30.6543602, 104.0866246 30.6533965, 104.0863993 30.6526674), (104.0868161 30.6543602, 104.0868392 30.6544764, 104.0869638 30.6547591), (104.0869638 30.6547591, 104.0868392 30.6544764, 104.0868161 30.6543602), (104.0869638 30.6547591, 104.0870752 30.6550117, 104.0871814 30.6551891), (104.0871814 30.6551891, 104.0870752 30.6550117, 104.0869638 30.6547591), (104.0871814 30.6551891, 104.0872423 30.6552907, 104.0871814 30.6551891))"
100286181,residential,1003.98,"MULTILINESTRING ((104.0883305 30.6580235, 104.0884039 30.6582185, 104.0892244 30.6593738), (104.0892244 30.6593738, 104.0884039 30.6582185, 104.0883305 30.6580235), (104.0883305 30.6580235, 104.0879243 30.656944, 104.0876154 30.6561073, 104.0873315 30.6554542, 104.0872423 30.6552907, 104.0873315 30.6554542, 104.0876154 30.6561073, 104.0879243 30.656944, 104.0883305 30.6580235), (104.0892244 30.6593738, 104.089264 30.6594295, 104.0892244 30.6593738))"
538608177,primary,211.03499999999997,"LINESTRING (104.0872423 30.6552907, 104.0863297 30.6557152, 104.0861884 30.6557783, 104.085713 30.6560191, 104.0853139 30.6562121)"
925480266,primary,211.03499999999997,"LINESTRING (104.0872423 30.6552907, 104.0863297 30.6557152, 104.0861884 30.6557783, 104.085713 30.6560191, 104.0853139 30.6562121)"
132710405,primary,909.5959999999999,"LINESTRING (104.0936665 30.6523033, 104.0934218 30.6524145, 104.0920337 30.6530618, 104.0895598 30.6542158, 104.089357 30.654307, 104.0872423 30.6552907, 104.0863297 30.6557152, 104.0861884 30.6557783, 104.085713 30.6560191, 104.0853139 30.6562121)"
313610433,trunk,681.64,"LINESTRING (104.0359806 30.7211444, 104.0365363 30.7215845, 104.0390714 30.7235896, 104.040425 30.7246602, 104.0407299 30.7249086, 104.0412324 30.725291)"
1082603062,trunk_link,100.605,"LINESTRING (104.0365363 30.7215845, 104.0374156 30.7220817)"
37628719,trunk,583.99,"LINESTRING (104.0402564 30.7248504, 104.0382592 30.7232597, 104.0372792 30.7224792, 104.0357684 30.721287)"
655376417,trunk_link,76.699,"LINESTRING (104.0402564 30.7248504, 104.0395258 30.7245652)"
37628720,trunk,40.313,"LINESTRING (104.0405662 30.7250964, 104.0402564 30.7248504)"
447247929,trunk,2751.083,"LINESTRING (104.0412324 30.725291, 104.0426474 30.7264748, 104.0434404 30.7270363, 104.0438818 30.7273085, 104.0443298 30.7275546, 104.0446069 30.7276878, 104.04503 30.7278515, 104.045468 30.7279997, 104.0458198 30.7281127, 104.0464206 30.7282591, 104.0467216 30.7283105, 104.0470891 30.7283658, 104.0474767 30.7284131, 104.0477985 30.7284338, 104.0480896 30.7284488, 104.0483792 30.728458, 104.0489666 30.7284465, 104.049377 30.7284165, 104.0498088 30.7283935, 104.0526933 30.7281725, 104.053493 30.7281259, 104.0561277 30.7279237, 104.0586963 30.7275956, 104.0603355 30.7273884, 104.0624106 30.7270889, 104.0672783 30.7265448, 104.0686987 30.726363)"
37633738,trunk,3261.283,"LINESTRING (104.1304855 30.7164317, 104.1303277 30.7165201, 104.1294986 30.7169128, 104.1288119 30.717212, 104.1281099 30.7174982, 104.1269052 30.7179036, 104.1257786 30.7181896, 104.1245234 30.7184018, 104.1226977 30.7186951, 104.1178071 30.7194809, 104.115951 30.7197645, 104.1126141 30.72016, 104.1115737 30.7202833, 104.1072392 30.7208021, 104.1044817 30.7211542, 104.103444 30.7212695, 104.1022303 30.7213629, 104.1010962 30.7214167, 104.0991562 30.7214971, 104.097116 30.7216024)"
188101379,trunk_link,97.32,"LINESTRING (104.1288119 30.717212, 104.1283462 30.7174593, 104.127991 30.7177248)"
132105045,trunk,3729.349,"LINESTRING (104.1072392 30.7208021, 104.1044817 30.7211542, 104.103444 30.7212695, 104.1022303 30.7213629, 104.1010962 30.7214167, 104.0991562 30.7214971, 104.097116 30.7216024, 104.0962529 30.7216299, 104.0905559 30.7218697, 104.0897351 30.721932, 104.0891508 30.7219859, 104.08811 30.7221244, 104.0872729 30.722294, 104.0862688 30.7225052, 104.0854489 30.7226998, 104.0837001 30.7231701, 104.0793461 30.7243154, 104.0776108 30.7247843, 104.0774176 30.7248351, 104.0740512 30.7257201, 104.0732207 30.7259226, 104.0722175 30.7261288, 104.0718868 30.7261769, 104.0703253 30.726404, 104.0690174 30.7265724)"
132105046,trunk,972.592,"LINESTRING (104.1072392 30.7208021, 104.1044817 30.7211542, 104.103444 30.7212695, 104.1022303 30.7213629, 104.1010962 30.7214167, 104.0991562 30.7214971, 104.097116 30.7216024)"
